Brand No.,Horse Name,Date,Details,Passed On
H125,HUMBLE STAR,29/03/2023,Substantial blood in trachea noted on post-race scoping.,-
H129,BULB TYCOON,19/02/2023,Substantial mucus in trachea noted on post-race scoping.,-
H131,VANQUISHER,21/01/2023,Heart irregularity noted after racing.,16/03/2023
H132,AMAZING TRAVIS,10/10/2022,Castration.,-
H134,LEAN MASTER,16/03/2023,Castration.,-
H138,SHOW RESPECT,05/02/2023,"After being loaded into the barriers, reared and struck its head against the overhead structure, and momentarily got its right front leg over the barrier partition. Withdrawn from racing.",21/02/2023
,,06/02/2023,Castration.,-
H156,COSMO NAVIGATOR,13/03/2023,Lame right front leg after racing.,-
H157,FURTHER FORWARD,12/10/2022,Castration.,-
,,30/03/2023,Right fore tendon injury.,-
H159,GOLDEN LUCK,05/10/2022,Castration.,-
H165,TURIN MASCOT,22/03/2023,Colic.,30/03/2023
H169,KA YING POWER,17/11/2022,Castration.,-
H172,NISHIKADO,11/01/2023,Lame left fore.,04/04/2023
H174,NOTORIOUS KING,08/12/2022,Right hind cannon bone injury.,-
H176,LASER VICTORY,11/03/2023,Unacceptable performance. Rider also concerned horse's action during racing. Lame right front leg on the day after racing.,-
H183,UNITED WARRIORS,07/02/2023,Lame left fore.,-
H184,THE FINAL WORD,25/12/2022,Right hind tibial stress injury.,-
H187,EVER BLESSING,20/01/2023,Lung infection.,02/03/2023
H190,SPLENDID FEELING,20/03/2023,Lame left fore. Withdrawn from racing. Update: Left fore ligament injury.,-
,,03/04/2023,Left fore fetlock injury.,-
H191,SHABU WIN WIN,11/12/2022,Left fore tendon injury.,-
H202,FURY AND GOLD,06/12/2022,Lame right fore.,-
H211,MANAGEMENT HEART,13/02/2023,Castration.,-
H212,CHANCHENG GLORY,27/01/2023,Castration.,-
H214,CHATEAU,23/11/2022,Castration.,-
H225,IMPERIAL GOODNESS,19/12/2022,Lame right fore.,09/02/2023
,,06/03/2023,Lame right fore.,-
H229,FORTUNE WARRIOR,19/03/2023,Rider concerned horse's action during racing. Substantial mucus in trachea noted on post-race scoping.,-
H235,LUCKY PLANET,21/12/2022,Castration.,-
H243,SKY DO,22/03/2023,Lame right fore.,-
H249,ART LITE,10/01/2023,Fractious in the barriers and sustained a head injury. Withdrawn from barrier trial.,07/02/2023
H251,SUPER CONTENTED,14/02/2023,Lame right fore.,10/03/2023
H269,THRILL'S BROTHERS,16/03/2023,Bled from left nostril after barrier trial.,-
H305,H305,03/03/2023,Right fore fetlock injury.,-
H321,H321,23/02/2023,Right fore humerus bone injury.,-
H325,NEW POWER,18/03/2023,Lame left fore.,-
H336,ENFOLDED,24/03/2023,Lame right hind.,-
