GVKEYIID,GVKEY,IID,dsci,isin,sedol,ibtic,exchg,exchgdesc,conm,busdesc,loc,prirow,ggroup,gind,gsector,gsubind,ggroupdesc,ginddesc,gsectordesc
24779401W,247794,01W,ORD HKD.01,BMG4783W1073,BZBGB19,@399,170,Hong Kong Exchanges and Clearing Ltd,INNOVATIVE PHARMA BIOTECH,"Innovative Pharmaceutical Biotech Limited, an investment holding company, engages in the trading of beauty equipment and products in the People's Republic of China and Hong Kong. The company operates in two segments, Trading of Beauty Products and Research and Development. It is also involved in the funds/securities investment; research, development, and commercialization of oral insulin products; distribution of bio-industrial products; and provision of genetic testing services. The company was formerly known as United Gene High-Tech Group Limited and changed its name to Innovative Pharmaceutical Biotech Limited in September 2015. Innovative Pharmaceutical Biotech Limited is headquartered in Sheung Wan, Hong Kong.",HKG,01W,2010,201070,20,20107010,Capital Goods,Trading Companies & Distributors,Industrials
24780601W,247806,01W,ORD HKD.10,KYG7S12H1066,BDT6MD6,@F0X,170,Hong Kong Exchanges and Clearing Ltd,QUANTUM THINKING LTD,"Quantum Thinking Limited, an investment holding company, engages in the provision of system development and other value-added technical consultation services, and hardware-related businesses in the People's Republic of China. The company operates through System Development, Consultancy, Maintenance and Other Services; and Sales of Hardware Products segments. It engages in developing and establishing integrated online platforms for the distribution of mobile products, as well as online network systems; and technical and software development of identity authentication services related products. The company was formerly known as Yunbo Digital Synergy Group Limited and changed its name to Quantum Thinking Limited in December 2017. The company was incorporated in 2000 and is headquartered in Wan Chai, Hong Kong. Quantum Thinking Limited is a subsidiary of Happy On Holdings Limited.",HKG,01W,4520,452020,45,45202030,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Information Technology
24780901W,247809,01W,ORD HKD0.01,BMG2154Z1216,BLR8BG6,@F3T,170,Hong Kong Exchanges and Clearing Ltd,CHINA FORTUNE HOLDINGS LTD,"China Fortune Holdings Limited, an investment holding company, engages in the distribution and trading of mobile phones and related accessories in the People's Republic of China. The company operates through Mobile Phone Business and Mining Business segments. It also offers telecommunication equipment, wireless solutions, network equipment, software, and other equipment. In addition, the company is involved in the development of marketing and after-sales service network; and mining and processing of celestite, zinc, and lead minerals located in Huangshi City, Hubei Province. Further, it engages in the provision of management services. The company was formerly known as Fortune Telecom Holdings Limited and changed its name to China Fortune Holdings Limited in October 2007. China Fortune Holdings Limited was founded in 1992 and is based in Kwai Chung, Hong Kong. China Fortune Holdings Limited is a subsidiary of Future 2000 Limited.",HKG,01W,4520,452030,45,45203030,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Information Technology
24782001W,247820,01W,ORD HKD.01,BMG3685C1029,6233231,@UUA,170,Hong Kong Exchanges and Clearing Ltd,FUJIKON INDUSTRIAL HOLDINGS,"Fujikon Industrial Holdings Limited, an investment holding company, engages in the designing, manufacturing, marketing, and trading of electro-acoustic products, accessories, and other electronic products in Hong Kong and China. It offers Bluetooth headsets, headphones, and active noise cancelling headphones, as well as speaker drivers. The company is also involved in the manufacture and trade of precision metal parts, and packaging materials; and property holding activities, as well as provision of management services. Fujikon Industrial Holdings Limited was founded in 1982 and is headquartered in Sha Tin, Hong Kong.",HKG,01W,2520,252010,25,25201010,Consumer Durables & Apparel,Household Durables,Consumer Discretionary
24782201W,247822,01W,ORD USD.005,BMG5423H1034,BZ14BM4,@9TA,170,Hong Kong Exchanges and Clearing Ltd,LAMTEX HOLDINGS LTD,"Lamtex Holdings Limited, an investment holding company, manufactures and trades in electronic components in the People's Republic of China. The company operates through Securities Trading and Investment; Securities Brokerage and Provision of Securities Margin Finance; Hotel Operation; Property Investment; Loan Financing Services; and Trading and Manufacturing of Electronic Products segments. It also invests and trades in securities; provides securities brokerage and margin finance services, funds and financial services to third parties, and management services; operates hotels and tours; and invests in and rents properties. The company was formerly known as China New Energy Power Group Limited and changed its name to Lamtex Holdings Limited in August 2016. Lamtex Holdings Limited is headquartered in Kowloon, Hong Kong.",HKG,01W,4020,402030,40,40203010,Diversified Financials,Capital Markets,Financials
24782801W,247828,01W,ORD HKD.10,BMG6469T1009,B03S8Z1,@KXC,170,Hong Kong Exchanges and Clearing Ltd,NEWOCEAN ENERGY HLDGS LTD,"NewOcean Energy Holdings Limited, an investment holding company, distributes and sells liquefied petroleum gas (LPG) and natural gas, and oil products in the People's Republic of China. It sells LPG to industrial customers, auto-gas operators, wholesalers, bottled LPG end-users, and auto-gas end-users. The company also trades in electronic products, such as integrated circuits and mobile phones. In addition, it is involved in the property dealing, development, and sale activities. The company is headquartered in Wan Chai, Hong Kong.",HKG,01W,1010,101020,10,10102030,Energy,"Oil, Gas & Consumable Fuels",Energy
24786201W,247862,01W,ORD HKD.10,KYG3919S1057,6336527,@0GB,170,Hong Kong Exchanges and Clearing Ltd,GLOBAL BIO-CHEM TECH GROUP,"Global Bio-chem Technology Group Company Limited, an investment holding company, manufactures and sells corn refined products and corn-based biochemical products in the People's Republic of China, rest of Asia, the Americas, and internationally. It operates through four segments: Upstream Products, Amino Acids, Corn Sweeteners, and Polyol Chemicals. The company offers corn refined products, including corn oil, corn steep liquor, corn starch, waxy corn starch, corn gluten meal, feed pellets, and corn germ cake. It also provides downstream corn based biochemical products, such as amino acids comprising lysine, protein lysine, threonine, and glutamic acid; corn sweeteners, which include high fructose corn syrup, maltodextrin, high maltose syrup, maltose syrup, sorbitol, glucose, and crystallized glucose; modified starches; and chemicals comprising ethylene, propylene, and butylene glycols, as well as resins. In addition, the company offers anti-freeze products, hydrogen, and ammonia. Its products are used in various applications, such as feed production, food and beverage, cosmetics, textiles, pharmaceuticals, chemical industries, etc. The company was founded in 1994 and is headquartered in Tsim Sha Tsui, Hong Kong.",HKG,01W,3020,302020,30,30202010,Food Beverage & Tobacco,Food Products,Consumer Staples
24787301W,247873,01W,ORD HKD.10,BMG2618A1009,6261050,@WV1,170,Hong Kong Exchanges and Clearing Ltd,GOLIK HOLDINGS LTD,"Golik Holdings Limited, an investment holding company, manufactures and sells metal products and building construction materials in Hong Kong and Mainland China. The company offers steel coil products, including cold rolled, galvanized, aluminum coated, silicon, electrolytic tinplate, and electrical steel products; and elevator, crane, and oilfield ropes. It also provides steel wire products, such as carbon steel spring wires, piano wires, bedding spring wires, core wires for ACSR conductors, and galvanized low carbon steel wires for cable armoring; galvanized wire strands, fiber optic cable strength members, and zinc-coated steel strands; and steel wire ropes. In addition, the company distributes reinforcing steel bars, sheet piles, and H-beams; and offers reinforcing steel products, services, and accessories, including reinforcement solutions, bored pile cages, lattice girders, rebar couplers, Hy-Rib formworks, and concreting accessories, as well as expanded metal meshes, beads and laths, lintels, and corrugated sheets. Further, it produces and supplies ready mixed concrete for the construction industry; and operates a decoiling center and concrete batching plants. Additionally, the company provides concrete and metal products, and warehousing services, as well as engages in the property holding activities. Golik Holdings Limited was founded in 1977 and is headquartered in Wan Chai, Hong Kong.",HKG,01W,1510,151040,15,15104050,Materials,Metals & Mining,Materials
24787401W,247874,01W,ORD HKD.01,BMG0944P1068,BCZZR79,@1TC,170,Hong Kong Exchanges and Clearing Ltd,BEAUTIFUL CHINA HOLDINGS CO,"Beautiful China Holdings Company Limited, an investment holding company, engages in ecological garden and landscape, and ecological environmental protection businesses in the People's Republic of China. It operates through three segments: Tree Plantation, Landfill Management and Waste Sorting, and Waste pyrolysis. The company engages in the cultivation and trading of seedlings; provision of landfill management, treatment, and waste sorting services, as well as waste collection, sorting, re-delivery, resource treatment, etc.; and production and trading of pyrolysis oils and other materials. In addition, it offers waste renewable resource recycling services. The company was formerly known as FinTronics Holdings Company Limited and changed its name to Beautiful China Holdings Company Limited in August 2013. Beautiful China Holdings Company Limited is based in Admiralty, Hong Kong.",HKG,01W,2020,202010,20,20201050,Commercial & Professional Services,Commercial Services & Supplies,Industrials
24790701W,247907,01W,ORD HKD5,KYG5342X1227,BF99X70,@5LF,170,Hong Kong Exchanges and Clearing Ltd,LAI FUNG HOLDINGS LTD,"Lai Fung Holdings Limited, an investment holding company, engages in the property development and investment businesses in Mainland China. It operates through four segments: The Property Development, The Property Investment, The Hotel and Serviced Apartment Operation, and The Theme Park Operation. The company invests in and develops hotels and serviced apartments, as well as residential, office, and commercial properties; and invests in, develops, and operates cultural, leisure, and entertainment and related facilities. It is also involved in the property and building management business. In addition, the company operates theme parks. The company was incorporated in 1997 and is headquartered in Central, Hong Kong. Lai Fung Holdings Limited is a subsidiary of Lai Sun Development Company Limited.",HKG,01W,6010,601020,60,60102030,,,
24792401W,247924,01W,ORD HKD.10,BMG8165U1009,6162692,@KH9,170,Hong Kong Exchanges and Clearing Ltd,SINOPEC KANTONS HOLDINGS LTD,"Sinopec Kantons Holdings Limited, an investment holding company, provides crude oil jetty services. It operates through, Crude Oil Jetty and Storage Services; and Vessel Chartering and Logistics Services segments. The company offers crude oil transportation, unloading, storage, and other jetty services for oil tankers in the People's Republic of China (PRC), Europe, and the Middle East; and vessel chartering services for liquefied natural gas transportation in the PRC, Australia, and the Papua New Guinea. It also engages in the trading of crude oil; and provision of oil supporting and ancillary services. The company was founded in 1998 and is headquartered in Causeway Bay, Hong Kong. Sinopec Kantons Holdings Limited is a subsidiary of Sinopec Kantons International Limited.",HKG,01W,1010,101020,10,10102040,Energy,"Oil, Gas & Consumable Fuels",Energy
24792501W,247925,01W,ORD HKD1,KYG8168Z1063,6798923,@9SH,170,Hong Kong Exchanges and Clearing Ltd,SINO HOTELS HOLDINGS LTD,"Sino Hotels (Holdings) Limited, an investment holding company, operates and manages hotels in Hong Kong. It operates hotels under the Royal Pacific Hotel & Towers, Conrad Hong Kong, City Garden Hotel, The Olympian Hong Kong, Hong Kong Gold Coast Hotel, and The Pottinger Hong Kong names in Hong Kong; and The Fullerton Hotel and The Fullerton Bay Hotel names in Singapore. The company also operates clubs under the Gold Coast Yacht & Country Club name. In addition, it engages in the provision of nominee and finance services; and share and bond investment activities. Further, the company operates restaurants and bars under the Gradini Ristorante E Bar Italiano, Satay Inn - Royal Pacific Hotel, Satay Inn - Hong Kong Gold Coast Hotel, YUE, Lobby Lounge, Gold Coast Prime Rib, and Pierside Bar & Restaurant; and cafes and delis under the Cafe Lagoon, Cafe on the PARK, and Park Deli names. Sino Hotels (Holdings) Limited is based in Tsim Sha Tsui, Hong Kong.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
24793201W,247932,01W,ORD HKD.10,BMG7004P1086,6678360,@PI9,170,Hong Kong Exchanges and Clearing Ltd,PERENNIAL INTERNATIONAL,"Perennial International Limited, an investment holding company, manufactures and trades in electric cables and wire products. It offers power cords, power cord sets, cables and solid wires, wire harnesses, accessories, and plastic resins and compounds. The company also engages in property and license activities. It serves multi-national producers of electrical and electronic products primarily in the United States, Europe, Australia, Mainland China, Japan, and Southeast Asia. The company was founded in 1989 and is headquartered in Tsimshatsui, Hong Kong. Perennial International Limited is a subsidiary of Spector Holdings Limited.",HKG,01W,2010,201040,20,20104010,Capital Goods,Electrical Equipment,Industrials
24796901W,247969,01W,CL H ORD CNY.10,CNE100000510,6280743,@OOM,170,Hong Kong Exchanges and Clearing Ltd,SHANGHAI FUDAN MICROELECTRON,"Shanghai Fudan Microelectronics Group Company Limited designs, develops, and sells products of specific application integrated circuits (ICs) in Mainland China, rest of the Asia Pacific, and internationally. It offers security and identification products, including contact and contactless memory ICs, NFC tag and channel ICs, HF RFID tag ICs, sensors, contactless CPU card, chips, contact dual interface, CPU card chips, secured encryption chips, and HF reader chips. The company also provides smart meters ASIC chips, ultra-low general purpose MCU, and ePLC solutions; NVM products, such as EEPROM, SPI NOR flash, SPI and parallel NAND flash, and ASNVM; and specific analog circuits. In addition, it offers bank card, smart meter, social security card, smart transportation card, and ePLC solutions; and issuance and validation services. Further, the company designs, develops, and sells IC testing software and products; produces probe cards; and provides research and consultancy services of IC technology, as well as testing services for IC products. The company was formerly known as Shanghai Fudan Microelectronics Company Limited. Shanghai Fudan Microelectronics Group Company Limited was founded in 1998 and is headquartered in Shanghai, the People's Republic of China.",HKG,01W,4530,453010,45,45301020,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology
24799101W,247991,01W,ORD HKD.10,BMG709641044,6195494,@OV4,170,Hong Kong Exchanges and Clearing Ltd,PINE TECHNOLOGY HOLDINGS LTD,"PINE Technology Holdings Limited, an investment holding company, manufactures and sells computer components, consumer electronic, and other products. It operates through five divisions: Group's Brand Products, Other Brand Products, Money Lending Service, Trading Business, and Computer Software and Hardware and System Development. The company provides graphic cards; power supply units; and other products, such as cables, video input output adapters, gaming accessories, and apparel, as well as monitor stands and mouse pad technologies. It also offers mobile accessories; and inbound logistics, handling and testing, warehousing and distribution, and value added services. In addition, the company is involved in the trademarks holding business; wholesale and distribution of computer components; and manufacture of electronics and computer digital audio devices, as well as computer software and hardware, and system development activities. Further, it engages in money lending business, as well as the trading of chemical products. The company offers its products under the XFX, Samtack, and AviiQ brands. It has operations in Canada, the United States, Asia, Europe, and internationally. PINE Technology Holdings Limited was founded in 1989 and is headquartered in Central, Hong Kong. PINE Technology Holdings Limited is a subsidiary of South Pearl Ventures Limited.",HKG,01W,4520,452020,45,45202030,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Information Technology
24800001W,248000,01W,ORD HKD.01,BMG4643J1062,BYRMJ10,@WV3,170,Hong Kong Exchanges and Clearing Ltd,HUANXI MEDIA GROUP LTD,"Huanxi Media Group Limited, an investment holding company, engages in the media and entertainment, and related businesses in the People's Republic of China and Hong Kong. The company develops and invests in films and television drama series. It also develops and operates huanxi.com, an online video platform, as well as offers internet audio-visual programs services. The company was formerly known as 21 Holdings Limited and changed its name to Huanxi Media Group Limited in October 2015. Huanxi Media Group Limited is headquartered in Admiralty, Hong Kong.",HKG,01W,5020,502020,50,50202010,,,Telecommunication Services
24828802W,248288,02W,ORD HKD.1(HONG KONG LIST),BMG211151037,B53NSQ2,@CAHL,170,Hong Kong Exchanges and Clearing Ltd,CHINA ANIMAL HEALTHECARE LTD,"China Animal Healthcare Ltd., an investment holding company, manufactures, sells, and distributes animal drugs in the People's Republic of China. The company operates through three segments: Powdered Form Drugs, Injection Form Drugs, and Biological Drugs. It sells various treatment and non-treatment animal drugs for poultry and livestock under 14 proprietary product brand names. The company's biological drugs consist of vaccines for swine fever, porcine reproductive and respiratory syndrome, and animal foot-and-mouth diseases. It also offers technical and support services to its customers; shares expertise in farming techniques and methodologies; and imparts knowledge relating to animal health and treatment of animal diseases. The company sells its products to poultry corporations, provincial veterinary stations, autonomous regions, and municipal cities; and a network of animal drug retailers, who in turn sell to the farmers. In addition, it is involved in the research, development, and manufacture of powder, pre-mix, and granules animal drugs; and animal feeds. Further, the company provides technical and consultation services relating to animal drugs; and transfers self developed techniques. China Animal Healthcare Ltd. was founded in 1996 and is based in Central, Hong Kong.",CHN,02W,3520,352020,35,35202010,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care
25009801W,250098,01W,ORD HKD.10,BMG2021K1172,B94GGD1,@0IW,170,Hong Kong Exchanges and Clearing Ltd,CENTURY GINWA RETAIL HLDG LT,"Century Ginwa Retail Holdings Limited, an investment holding company, operates department stores, a shopping mall, and supermarkets in the People's Republic of China. The company owns and operates five department stores, one shopping mall, and seven supermarkets. It also engages in the properties management activities. The company was incorporated in 2000 and is headquartered in Wan Chai, Hong Kong.",HKG,01W,2550,255030,25,25503010,Retailing,Multiline Retail,Consumer Discretionary
25022501W,250225,01W,ORD HKD.10,KYG428581030,6433440,@1LW,170,Hong Kong Exchanges and Clearing Ltd,HANISON CONSTRUCTION HLDGS,"Hanison Construction Holdings Limited, an investment holding company, engages in the construction business in Hong Kong. It operates through seven segments: Construction; Interior and Renovation Works; Design, Supply and Installation of Building Materials; Sale of Health Products; Property Investment; Property Development; and Provision of Property Agency and Management Services. The company operates as a builder for residential, commercial, and industrial properties, as well as educational and recreational facilities; and provides design-and-build services. It is also involved in supplying and installing building materials, such as kitchen cabinets, timber flooring, engineering flooring, suspended ceiling systems, firex boards, and poly boards to developers and main contractors; and supplying plumbing pipes and tubes, fittings, and other related accessories, including galvanized pipes, black pipes, stainless steel pipes and tubes, and polyethylene pipes. In addition, the company engages in the maintenance and renovation of clubhouses, shopping arcades, office premises, residential properties, industrial buildings, and institutional facilities; and property/project development consisting of land acquisition/feasibility study, design, construction, sales, and marketing services. Further, it provides property agency and management services, such as property management, rental collection, agency, and leasing services; and sells health supplements, health care equipment, and traditional Chinese medicine. Additionally, the company provides plant maintenance services. It operates three retail outlets under the HealthPlus name and one services center. Hanison Construction Holdings Limited was founded in 1989 and is headquartered in Shatin, Hong Kong.",HKG,01W,2010,201030,20,20103010,Capital Goods,Construction & Engineering,Industrials
25027801W,250278,01W,ORD HKD.002,KYG2117J1316,BF7TLK1,@4YS,170,Hong Kong Exchanges and Clearing Ltd,CHINA LNG GROUP LTD,"China LNG Group Limited, an investment holding company, sells and distributes liquefied natural gas (LNG) in the People's Republic of China. The company engages in the wholesale and point-to-point supply of LNG; and provision of LNG in the midstream and downstream market through fueling/refueling of LNG in road refueling stations for commercial vehicles, as well as water refueling stations for vessels and specific designed refueling facilities for equipment. It also provides LNG logistic services; finance leasing services for LNG vehicles and equipment; and securities brokerage, investment advisory, margin financing, and securities investments and financial services, as well as sells LNG vehicles. In addition, the company develops and operates oil-to-gas conversion and LNG refueling facilities on floating barges; develops LNG related technologies; operates LNG refueling stations; trades in gas ignition equipment; utilizes new energy sources; and supplies and manages LNG. Further, it is involved in the construction and operation of natural gas filling stations; wholesale of ethanol and liquefied petroleum gas; and trading of natural gas and transportation. Additionally, the company offers commercial vehicle user's long distance IT control, insurance handling, and new/used LNG/diesel vehicles purchase/sale services; and LNG consultancy services. The company was formerly known as Artel Solutions Group Holdings Limited and changed its name to China LNG Group Limited in June 2014. China LNG Group Limited was founded in 1995 and is headquartered in Central, Hong Kong.",HKG,01W,1010,101020,10,10102040,Energy,"Oil, Gas & Consumable Fuels",Energy
25047901W,250479,01W,ORD HKD.10,BMG219901094,6424303,@QQC,170,Hong Kong Exchanges and Clearing Ltd,CLEAR MEDIA LTD,"Clear Media Limited, an investment holding company, operates as an outdoor advertising company in the People's Republic of China. It provides bus shelter advertising solutions. As of December 31, 2020, the company operated bus shelter advertising network of approximately 59,000 panels covering 24 cities in Mainland China. It serves educational institution, IT digital product, and transport sectors. The company was founded in 1986 and is headquartered in Causeway Bay, Hong Kong. Clear Media Limited is a subsidiary of City Lead Developments Limited.",HKG,01W,5020,502010,50,50201010,,,Telecommunication Services
25063801W,250638,01W,ORD HKD.01,BMG4153P1041,BKVC6B7,@41P,170,Hong Kong Exchanges and Clearing Ltd,GREATER BAY AREA DYNAMIC,"Greater Bay Area Dynamic Growth Holding Limited, an investment holding company, owns, operates, leases, and manages hotels in the People's Republic of China and Hong Kong. The company operates through Hotel Operations and Securities Trading segments. It operates two hotels under the Rosedale brand, including the Rosedale Hotel & Suites in Guangzhou and the Rosedale Hotel Shenyang. The company is also involved in the trading of equity securities and property investment businesses. In addition, it rents shop units in hotels. The company was formerly known as Rosedale Hotel Holdings Limited. The company was incorporated in 1997 and is headquartered in Wan Chai, Hong Kong.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
25076401W,250764,01W,ORD HKD.01,KYG2029E1052,B755514,@4VB,170,Hong Kong Exchanges and Clearing Ltd,CGN MINING CO LTD,"CGN Mining Company Limited engages in the development and trading of natural uranium resources. The company is also involved in property investment activities. It has operations in Hong Kong, the United States, the People's Republic of China, Kazakhstan, Canada, the United Kingdom, Mauritius, Japan, and the rest of Europe. The company is headquartered in Wanchai, Hong Kong. CGN Mining Company Limited is a subsidiary of China Uranium Development Company Limited.",HKG,01W,1010,101020,10,10102050,Energy,"Oil, Gas & Consumable Fuels",Energy
25083801W,250838,01W,ORD HKD.00004,BMG989A51041,BM9CGJ1,@1EF,170,Hong Kong Exchanges and Clearing Ltd,ZHONGZHENG INTERNATIONAL CO,"Zhongzheng International Company Limited, an investment holding company, manufactures, trades in, and sells healthcare and household products. The company is also involved in the money lending, trademark holding, and land development businesses; and provision of fund management, as well as management services. In addition, it owns a coal mining concession. The company operates in the United States, the People's Republic of China, Germany, France, the United Kingdom, Japan, Hong Kong, and internationally. The company was formerly known as eForce Holdings Limited and changed its name to Zhongzheng International Company Limited in August 2020. Zhongzheng International Company Limited is headquartered in Central, Hong Kong.",HKG,01W,3030,303020,30,30302010,Household & Personal Products,Personal Products,Consumer Staples
25083901W,250839,01W,ORD HKD.05,BMG2155Y1075,6369233,@SE1,170,Hong Kong Exchanges and Clearing Ltd,CITIC RESOURCES HOLDINGS LTD,"CITIC Resources Holdings Limited, an investment holding company, engages in the exploration, development, and production of oil and coal. It operates through four segments: Aluminum Smelting, Coal, Import and Export of Commodities, and Crude Oil. The Aluminum smelting segment operates Portland aluminum smelter, which sources alumina and produces aluminum ingots in Australia. The Coal segment mines and sells coal in Australia. The Import and Export of Commodities segment exports various commodity products, such as aluminum ingots, alumina, and copper; and imports other commodities and manufactured goods, including steel, vehicle and industrial batteries, and tyres in Australia. The Crude Oil segment explores, develops, and operates oilfields, as well as engages in the sale of oil in Indonesia and China. The company also engages in financing; oil technology development; and property holding activities, as well as provides consulting and management services. The company was incorporated in 1997 and is headquartered in Kowloon, Hong Kong. CITIC Resources Holdings Limited is a subsidiary of CITIC Group Corporation.",HKG,01W,2010,201070,20,20107010,Capital Goods,Trading Companies & Distributors,Industrials
25092101W,250921,01W,ORD NPV,HK1126010854,6444497,@4D6,170,Hong Kong Exchanges and Clearing Ltd,DREAM INTERNATIONAL LTD,"Dream International Limited, an investment holding company, designs, develops, manufactures, and sells toys in Hong Kong, North America, Japan, Europe, the People's Republic of China, Vietnam, Korea, and internationally. The company operates through Plush Stuffed Toys, Plastic Figures, Die-casting Products, and Tarpaulin segments. It manufactures plush stuffed toys on original equipment manufacturing; and on original design manufacturing basis. The company also offers plastic figures, die-casting products, dolls, and tarpaulin products, as well as remote controlled cars and walkie-talkie items. In addition, it is involved in the manufacture of fabrics and dyeing products, and business color box and printing products. The company was formerly known as C & H Toy of HK Co., Ltd. and changed its name to Dream International Limited in 2001. Dream International Limited was founded in 1984 and is based in Tsim Sha Tsui, Hong Kong.",HKG,01W,2520,252020,25,25202010,Consumer Durables & Apparel,Leisure Products,Consumer Discretionary
25172001W,251720,01W,ORD HKD.10,KYG3066L1014,6333937,@0XG,170,Hong Kong Exchanges and Clearing Ltd,ENN ENERGY HOLDINGS LTD,"ENN Energy Holdings Limited, an investment holding company, engages in the investment, construction, operation, and management of gas pipeline infrastructures; and integrated energy, and vehicle and ship refueling stations in the People's Republic of China.",CHN,01W,5510,551020,55,55102010,Utilities,Gas Utilities,Utilities
25215801W,252158,01W,ORD HKD.1,BMG1118Y1214,BXRK3M6,@288,170,Hong Kong Exchanges and Clearing Ltd,BINHAI INVESTMENT CO LTD,"Binhai Investment Company Limited, an investment holding company, engages in the construction of gas pipeline networks, provision of connection services, and sale of liquefied petroleum gas (LPG) and piped gas in Hong Kong. The company operates through Sales of Piped Natural Gas, Construction and Gas Pipeline Installation Service, Gas Passing through Service, and Sales of Bottled Natural Gas segments. It also sells piped and bottled natural gas through its pipeline networks to residential and industrial users. In addition, the company is involved in the construction of gas pipelines and installation of appliances to connect customers to pipeline networks under connection contracts to industrial and commercial customers, property developers, and property management companies. As of December 31, 2020, it had a gas pipeline network of approximately 3,355 kilometers. The company was founded in 1994 and is headquartered in Causeway Bay, Hong Kong.",HKG,01W,5510,551020,55,55102010,Utilities,Gas Utilities,Utilities
25221801W,252218,01W,ORD HKD.10,BMG8403X1065,6201830,@4TT,170,Hong Kong Exchanges and Clearing Ltd,SRE GROUP LTD,"SRE Group Limited, together with its subsidiaries, engages in the real estate development and investment activities primarily in Mainland China. The company's Property Development segment develops and sells residential and commercial properties. Its Property Leasing segment leases offices and commercial properties. The company is also involved in the hospital operations, including out-patient services, sale of pharmaceutical products, obstetrical operation, gynecological, and in-patient postpartum care services; and the provision of real estate agency, factoring, property management, construction, and procurement management services, as well as the development of technology for housing. SRE Group Limited was founded in 1993 and is based in Admiralty, Hong Kong. SRE Group Limited operates as a subsidiary of Jiashun (Holding) Investment Limited.",BMU,01W,6010,601020,60,60102030,,,
25228301W,252283,01W,ORD HKD.10,KYG8972T1067,6345460,@ZZ4,170,Hong Kong Exchanges and Clearing Ltd,TOWNGAS CHINA CO LTD,"Towngas China Company Limited, an investment holding company, sells and distributes piped gas in the People's Republic of China. The company operates through two segments, Sales and Distribution of Piped Gas and Related Products, and Gas Connection. It engages in the provision of piped gas; construction of gas pipelines; operation of city gas pipeline network; operation of gas fuel automobile refilling stations; and sale of gas household appliances. The company also offers financing services; provides engineering works services; and operates vehicle gas refilling stations. It serves approximately 14.14 million customers. The company was formerly known as Panva Gas Holdings Limited and changed its name to Towngas China Company Limited in May 2007. The company was founded in 1998 and is headquartered in North Point, Hong Kong. Towngas China Company Limited is a subsidiary of The Hong Kong and China Gas Company Limited.",HKG,01W,5510,551020,55,55102010,Utilities,Gas Utilities,Utilities
25229801W,252298,01W,ORD HKD.10,KYG640061027,6517957,@VQQ,170,Hong Kong Exchanges and Clearing Ltd,NATURAL BEAUTY BIO-TECH LTD,"Natural Beauty Bio-Technology Limited, an investment holding company, manufactures and sells skin care, beauty, aroma-therapeutic, and health supplements and make-up products under the Natural Beauty brand in the People's Republic of China, Taiwan, and internationally. It also offers skin treatment, beauty and spa, medical cosmetology, skin care consulting, and beauty consulting and training services, as well as cosmetics and health supplement products. The company's spas provide various services, including hydrotherapy, facial treatment, body care, and skin care analysis. In addition, it engages in the wholesale of skin care and beauty products. The company was founded in 1972 and is based in Wan Chai, Hong Kong.",HKG,01W,3030,303020,30,30302010,Household & Personal Products,Personal Products,Consumer Staples
25229901W,252299,01W,ORD HKD.10,BMG114281022,BD5FNG7,@088,170,Hong Kong Exchanges and Clearing Ltd,BISON FINANCE GROUP LTD,"Bison Finance Group Limited, an investment holding company, engages in design and production of advertisements for transit vehicle exteriors and interiors, online portals, mobile apps, shelters, billboards, and outdoor signages in Hong Kong and Mainland China. The company also engages in media sales; and bus-body, bus-interior, bus-shelter, and billboards advertising services. In addition, it provides investment advisory services; securities brokerage and securities margin financing services; asset management services; securities underwriting and placing services; fund management and loan financing services; and insurance brokerage services. Further, the company is involved in the provision of employment agency services; events production business; integrated marketing services for advertising platforms; and management services. The company was formerly known as RoadShow Holdings Limited and changed its name to Bison Finance Group Limited in March 2018. The company was incorporated in 2000 and is based in North Point, Hong Kong. Bison Finance Group Limited is a subsidiary of Bliss Chance Global Limited.",HKG,01W,5020,502010,50,50201010,,,Telecommunication Services
25231801W,252318,01W,ORD HKD.005,KYG5139V1077,BDGHXC8,@Q8H,170,Hong Kong Exchanges and Clearing Ltd,JIANDE INTL HOLDINGS LTD,"Jiande International Holdings Limited, an investment holding company, engages in the development and sale of properties in the People's Republic of China. It also provides construction management service. The company is headquartered in North Point, Hong Kong.",HKG,01W,6010,601020,60,60102030,,,
